player,capitalization_statistics_fraction_all_caps_messages,capitalization_statistics_fraction_lowercase_messages,capitalization_statistics_fraction_messages_starting_uppercase,capitalization_statistics_fraction_titlecase_messages,capitalization_statistics_fraction_uppercase_messages,capitalization_statistics_mean_capital_letters_per_message,character_repetition_statistics_average_repeated_character_length,character_repetition_statistics_elongated_word_frequency,internet_slang_statistics_ass_frequency,internet_slang_statistics_bitch_frequency,internet_slang_statistics_bro_frequency,internet_slang_statistics_btw_frequency,internet_slang_statistics_cock_frequency,internet_slang_statistics_cunt_frequency,internet_slang_statistics_dick_frequency,internet_slang_statistics_emoticon_frequency,internet_slang_statistics_fag_frequency,internet_slang_statistics_faggot_frequency,internet_slang_statistics_fr_frequency,internet_slang_statistics_fuck_frequency,internet_slang_statistics_idgaf_frequency,internet_slang_statistics_idk_frequency,internet_slang_statistics_ik_frequency,internet_slang_statistics_imo_frequency,internet_slang_statistics_lmao_frequency,internet_slang_statistics_lmfao_frequency,internet_slang_statistics_loam_frequency,internet_slang_statistics_lol_frequency,internet_slang_statistics_mta_frequency,internet_slang_statistics_mtx_frequency,internet_slang_statistics_newfag_frequency,internet_slang_statistics_ngl_frequency,internet_slang_statistics_nigga_frequency,internet_slang_statistics_nigger_frequency,internet_slang_statistics_oldfag_frequency,internet_slang_statistics_rn_frequency,internet_slang_statistics_shit_frequency,internet_slang_statistics_tbh_frequency,internet_slang_statistics_u_frequency,internet_slang_statistics_ur_frequency,message_statistics_mean_characters_per_line,message_statistics_mean_words_per_line,message_statistics_median_characters_per_line,message_statistics_median_words_per_line,message_statistics_stdev_characters_per_line,message_statistics_stdev_words_per_line,punctuation_statistics_comma_frequency,punctuation_statistics_double_comma_frequency,punctuation_statistics_double_exclamation_mark_frequency,punctuation_statistics_double_period_frequency,punctuation_statistics_double_question_mark_frequency,punctuation_statistics_exclamation_mark_frequency,punctuation_statistics_period_frequency,punctuation_statistics_question_mark_frequency,punctuation_statistics_triple_comma_frequency,punctuation_statistics_triple_exclamation_mark_frequency,punctuation_statistics_triple_period_frequency,punctuation_statistics_triple_question_mark_frequency,word_statistics_fraction_one_letter_words,word_statistics_fraction_words_over_8_letters,word_statistics_mean_word_length,word_statistics_median_word_length,word_statistics_stdev_word_length,word_statistics_unique_words
Totally Not. monkeys Alt,0.021795623088396998,7.748095319036687,-8.204789474728166,-8.458076682731113,-0.027917671435507788,0.7907538229620883,-5.309239221345949,-8.672158534005503,-5.2693914092740926,41.916902090673496,-5.804006616964191,-3.9702834976513675,-2.773018678087319,-3.8240630607562167,-4.0500462807817215,63.994596351291015,-3.926437691899146,-3.615222953151679,17.668402927798027,17.382007396547113,-0.9782669584878675,-6.35649751361966,-3.5370327155690457,-2.11967848614096,-8.092182049533115,-3.5923295404332083,-1.6895353624704756,1.9301142923716175,35.38691765872567,-2.2225771117268254,-2.9840083704014586,-2.4137585455807633,58.619090096567426,-2.2152846435123448,-2.214563341749283,-5.498610159063362,13.522551461178997,-3.2845549018524998,-9.28276384869222,-5.194309862062858,-1.834813703992039,-17.473253769647656,-2.2475262789775905,-20.37190613495958,-1.8877634444010927,-11.10068958857329,-15.347100965886764,-1.5529857805353708,164.02806635593893,-5.123680403469964,-4.45010801590131,160.6357425886618,13.457575012797625,-3.60017379885381,-1.430997200377838,140.79505436144177,-4.986556575924443,-3.6216674621000084,48.95203372467459,33.97874963754213,2.1701228936380788,-37.581606467737636,1.8202335945745542,-6.708356291341611
tates3186,-0.7230735715914793,-22.029435648220407,24.249211815195302,-3.312203214639052,-0.7719651776859348,6.8436223159517455,27.498934048545514,-6.8540770271518,-0.07827102010087682,0.4532304313648674,-5.400640848675454,-2.356387076412455,1.8692674068697215,-0.783436141844542,9.39250115244147,-11.03398763496616,1.1690457973993424,8.242637969259082,-1.7743198170587269,5.551306820534014,-0.9782669584878675,-6.35649751361966,-3.5370327155690457,-2.11967848614096,6.380662276616529,-3.5923295404332083,-1.6895353624704756,-9.829911438085244,-5.477481194848485,-2.2225771117268254,-1.5973456977333074,-2.4137585455807633,-0.837085808652634,0.3241145903666407,0.24540565592563449,-5.011988178276821,1.5790826581745683,-1.4917603223061144,-8.817183729768928,-5.194309862062858,2.9241503669843656,14.268630476907958,0.7670668588167174,15.195512101552403,3.9821684737548178,10.64382988199675,6.002469317488958,-1.5529857805353708,-4.3543825262744935,-4.5326341859163515,-2.453587412653811,-6.35847500072916,-11.690731669215252,-7.329598573434118,-1.430997200377838,-4.194707444946116,-4.596184520500574,-1.4084178804030965,-13.015975528543198,3.8183606904535643,11.329260994988804,7.063530854177199,1.6231114278538172,38.87615739891882
secretpasser,-4.5976322516103005,14.550584548781819,-13.91310929084028,-9.791391391258555,-4.6422497112380565,-2.423451398375729,-0.036497088684819844,-5.941735209034236,17.534218719979364,0.3481897224621304,2.0711468758923357,-3.9702834976513675,-2.773018678087319,-3.8240630607562167,12.100536592578415,21.135846958603583,1.0476723780730763,1.5294032674234495,-1.7743198170587269,14.586544383564917,-0.9782669584878675,-0.22353696923254637,-3.5370327155690457,-2.11967848614096,-5.687398388731048,-3.5923295404332083,7.857535388555667,-10.119492855724712,3.7288923306337782,-2.2225771117268254,-2.9840083704014586,1.4982632207711917,40.11894304021913,1.0899303447402402,16.996420799563477,0.2017587264024742,6.549527300973958,-3.2845549018524998,-8.676777059861433,-5.194309862062858,-1.863131262309345,-8.739730694199991,-1.6892682904971632,-11.480051575831585,-1.3234290031737064,-2.0309265675363286,-7.308937850940122,-1.5529857805353708,21.888732834262836,-5.123680403469964,-1.5607816132444092,19.370742453926724,-0.4150959743816787,-8.273170836332186,-1.430997200377838,15.455089376623327,-4.986556575924443,-3.6216674621000084,-3.9892781187051223,5.526014244843113,3.072063538437858,7.063530854177199,-1.821354135608266,8.162859297266003
kieyrah,-0.762301109333977,21.437697102485433,-22.505024822422996,-15.103520039813219,-0.8111494423086564,-9.647128829978557,-0.06090793189158424,0.20661584753912982,5.029586956433982,1.8760119352076596,7.000182104182567,-3.9702834976513675,7.051101562543297,-3.8240630607562167,17.83260773717971,3.094527613892961,-3.926437691899146,31.237412558310872,-1.7743198170587269,-0.18970162586703193,-0.9782669584878675,6.1079554492513415,-3.5370327155690457,-2.11967848614096,-8.092182049533115,-1.488203028229828,4.778195485631088,-3.2252753493841055,-5.974488881248469,-2.2225771117268254,4.352215948921269,-2.4137585455807633,0.1314956976753512,-2.2152846435123448,-2.214563341749283,-2.924106582866233,-1.0394399793347011,-3.2845549018524998,-7.640643642453415,10.559016585753074,-4.243378100619774,-12.616719359233745,-2.582481072065847,-11.480051575831585,-5.052064764825181,-9.466041023236505,-2.7428319534096346,332.66068130949407,30.633572589900034,4.413995607954676,7.6315402323899315,35.198079126192745,1.2566755257605986,2.2247976421640834,358.24701012240087,25.93251372366462,6.5623609361253745,0.34667372599018353,-13.085531682046708,4.75722750519679,3.713797682642594,7.063530854177199,-1.6621835684966848,6.930012409091278
Meat Mountain,-6.241052961196646,-7.3488496290822045,9.604946021655891,-11.223559450689478,-6.283857512207118,-2.6975360004130424,1.0986071204297285,0.38320245019514887,-5.2693914092740926,-3.956575281361538,-5.804006616964191,-3.9702834976513675,-2.773018678087319,-3.8240630607562167,-4.0500462807817215,6.283722148765274,-3.926437691899146,-3.615222953151679,-1.7743198170587269,-3.3672218289442757,-0.9782669584878675,-6.35649751361966,-3.5370327155690457,-2.11967848614096,-8.092182049533115,-3.5923295404332083,-1.6895353624704756,-8.947603855044699,2.070748906359867,-2.2225771117268254,-2.9840083704014586,-2.4137585455807633,-0.8019335634732072,-2.2152846435123448,-2.214563341749283,-5.498610159063362,-5.439938483727552,-3.2845549018524998,-9.28276384869222,-5.194309862062858,1.0127632603670271,8.14495833279109,1.4369764449932303,15.195512101552403,-4.3429971069596975,-5.014310806117803,23.222623345830648,114.2256578254752,-4.3543825262744935,28.329841751628017,-0.26477095625530145,-4.2100617216243625,7.623309192767607,-3.321507549382527,92.01902277934009,-4.194707444946116,19.56373298219182,-3.6216674621000084,-3.386755825662041,-2.452304873535024,0.7946456500085218,7.063530854177199,-2.258767050506065,1.9986248563923807
HorrorDesign,4.411710870749434,9.866915101603576,-10.258379483650716,-5.018886628849468,4.357154923863168,-4.554504021469168,0.9678347461077759,-4.912337785610753,-5.2693914092740926,-3.956575281361538,1.9418266882972959,5.327212943786564,-2.773018678087319,-3.8240630607562167,-4.0500462807817215,-3.458366374131922,-3.926437691899146,-3.615222953151679,-1.7743198170587269,-8.377776441914788,-0.9782669584878675,1.1838142542175534,2.524456851241145,-2.11967848614096,-8.092182049533115,-3.5923295404332083,-1.6895353624704756,4.894754329658057,-5.974488881248469,72.7541409171643,-2.9840083704014586,16.825148046019876,-3.839132326905826,-2.2152846435123448,-2.214563341749283,11.321674247597157,1.931722522840293,-3.2845549018524998,-9.28276384869222,-5.194309862062858,-3.603568924372541,-7.788231981127045,-1.4659650951049923,-2.588197016703589,-4.917196212187536,-7.437925372394401,-2.6912325786422304,-1.5529857805353708,0.5731088979060762,-4.508034030113945,9.067412457790907,4.650879631348953,-10.330243793525907,5.4627311786008415,-1.430997200377838,0.04822768658128219,-4.173316822268666,7.136716868206982,-2.620853171784492,-4.1133422224234515,-2.6257840050966244,7.063530854177199,-2.096136161371136,8.4556604332075
Pextorial,-8.973932343430121,18.366122179726208,-19.1344255981652,-7.8173929916205225,-9.013722169998367,-11.473811261585489,-0.9152874441283414,16.792245844384247,-5.2693914092740926,-3.956575281361538,-5.804006616964191,-3.9702834976513675,-2.773018678087319,-3.8240630607562167,-4.0500462807817215,15.549255853450969,-3.926437691899146,-3.615222953151679,-1.7743198170587269,-8.377776441914788,-0.9782669584878675,-6.35649751361966,-3.5370327155690457,-2.11967848614096,19.942108009615808,-3.5923295404332083,-1.6895353624704756,-10.119492855724712,-5.974488881248469,-2.2225771117268254,-2.9840083704014586,-2.4137585455807633,-3.839132326905826,-2.2152846435123448,-2.214563341749283,-5.498610159063362,15.73451200836909,-3.2845549018524998,33.103775166035575,99.06880064955317,-3.897980461227083,-12.252330345613347,-1.9125714858893343,-11.480051575831585,-7.274044204651397,-11.91669974921964,-6.817626373997533,-1.5529857805353708,-4.3543825262744935,-5.123680403469964,-4.45010801590131,-7.0314037849554,1.0653416178060369,13.795227272554786,-1.430997200377838,-4.194707444946116,-4.986556575924443,-3.6216674621000084,2.321830675881882,12.815588702758403,0.28017463111042373,7.063530854177199,-1.2750386975368573,-6.677535119137242
Alexx,-8.973932343430121,18.366122179726208,-13.817305321898537,-15.505597284947596,-9.013722169998367,-10.776300451089892,-5.309239221345949,-8.672158534005503,-5.2693914092740926,-3.956575281361538,-5.804006616964191,-3.9702834976513675,-2.773018678087319,-3.8240630607562167,-4.0500462807817215,-12.255640277351585,-3.926437691899146,-3.615222953151679,-1.7743198170587269,-8.377776441914788,-0.9782669584878675,160.09588476138683,-3.5370327155690457,-2.11967848614096,-8.092182049533115,-3.5923295404332083,-1.6895353624704756,-10.119492855724712,-5.974488881248469,-2.2225771117268254,-2.9840083704014586,-2.4137585455807633,-3.839132326905826,-2.2152846435123448,-2.214563341749283,-5.498610159063362,-10.019028648201282,-3.2845549018524998,-9.28276384869222,-5.194309862062858,-6.792181350664803,-19.143949265338637,-2.805784267458018,-20.37190613495958,-9.964916631369103,-16.460390591246888,-15.347100965886764,-1.5529857805353708,-4.3543825262744935,-5.123680403469964,-4.45010801590131,-7.0314037849554,-14.217665932617585,-16.97153499585979,-1.430997200377838,-4.194707444946116,-4.986556575924443,-3.6216674621000084,23.613496856564772,-6.695061415218286,-5.650475678679688,-15.25903780678022,-1.1725675126059323,-7.894971421209783
t4sss,-8.973932343430121,18.68281560721984,-24.45154587443187,-15.505597284947596,-9.013722169998367,-13.915099098320079,-5.309239221345949,-8.672158534005503,261.4637452541148,-3.956575281361538,-5.804006616964191,-3.9702834976513675,-2.773018678087319,-3.8240630607562167,-4.0500462807817215,-12.255640277351585,-3.926437691899146,-3.615222953151679,-1.7743198170587269,-8.377776441914788,-0.9782669584878675,-6.35649751361966,-3.5370327155690457,-2.11967848614096,-8.092182049533115,-3.5923295404332083,-1.6895353624704756,-10.119492855724712,-5.974488881248469,-2.2225771117268254,-2.9840083704014586,-2.4137585455807633,73.28730899904978,-2.2152846435123448,-2.214563341749283,-5.498610159063362,-10.019028648201282,-3.2845549018524998,-9.28276384869222,-5.194309862062858,-5.134122529094345,-11.662673111840057,-1.9125714858893343,6.303657542424407,-8.169094664237132,-13.799101062177197,24.031968645265383,-1.5529857805353708,-4.3543825262744935,-5.123680403469964,-4.45010801590131,-7.0314037849554,-14.217665932617585,-16.97153499585979,-1.430997200377838,-4.194707444946116,-4.986556575924443,-3.6216674621000084,-36.244206179694665,-17.469091663492748,-5.575467878309706,-37.581606467737636,-3.91379270563812,-7.648402043574838
opie,-8.973932343430121,15.19918790478981,-17.57056669338089,-15.505597284947596,-9.013722169998367,-10.530120165032622,-5.309239221345949,-8.672158534005503,-5.2693914092740926,-3.956575281361538,-5.804006616964191,-3.9702834976513675,-2.773018678087319,-3.8240630607562167,-4.0500462807817215,42.25659029487974,-3.926437691899146,-3.615222953151679,-1.7743198170587269,-8.377776441914788,-0.9782669584878675,-6.35649751361966,-3.5370327155690457,-2.11967848614096,-8.092182049533115,-3.5923295404332083,-1.6895353624704756,-10.119492855724712,-5.974488881248469,-2.2225771117268254,-2.9840083704014586,-2.4137585455807633,264.07376912115046,299.9509487562108,-2.214563341749283,-5.498610159063362,-10.019028648201282,-3.2845549018524998,46.117186267048496,-5.194309862062858,-7.33253087733732,-24.229742906633238,-3.0290874628501894,-20.37190613495958,-10.224018307673132,-18.787842697374064,-15.347100965886764,-1.5529857805353708,-4.3543825262744935,-5.123680403469964,80.87771443251555,-7.0314037849554,-14.217665932617585,68.65539773989684,-1.430997200377838,-4.194707444946116,-4.986556575924443,122.49892255093548,14.1622805876817,42.83879282220454,23.922336561926286,51.70866817609204,-0.40883430170782253,-7.817918490698863
