player,UMAP_1,UMAP_2,cluster
Totally Not. monkeys Alt,5.8488846,3.7299492,-1
tates3186,6.1518536,8.931713,10
secretpasser,6.6854553,6.899294,35
kieyrah,4.938869,9.29992,-1
Meat Mountain,4.954193,9.296175,-1
HorrorDesign,6.882283,5.899769,22
Pextorial,10.42669,5.0138507,20
Alexx,9.75297,6.6969285,36
t4sss,7.1721926,7.580746,39
opie,6.269548,6.8554645,35
solid old acc,7.2521734,10.010478,25
CreeperBait,7.524066,12.985139,7
Zenot1c,5.653491,8.861135,11
Deleted user,9.787099,6.5831404,36
Marni,6.9593406,5.891268,22
EibeAxxt,9.542175,5.83261,37
badbeast28,8.4241905,6.3141975,-1
BlackJack,7.15317,10.113394,-1
CanadaOnTop,7.3725963,9.852443,25
Mellow,9.162562,5.8094435,-1
mindreader1975,4.901186,9.351602,-1
Bibcuit,9.148204,1.4149324,0
faustas,10.504121,4.809832,20
JcMoo,6.8801126,8.988219,-1
Conquistador,6.4558086,4.873038,2
Dumb fuck,6.2300615,9.048397,10
RIp Juice WRLD,7.373974,9.355827,-1
LoganGamer12,10.486533,4.100914,8
Rex Fujinson,8.6222,9.60952,26
madne33,11.630453,7.060535,1
Two face,8.850708,9.9253,9
Timbs1,10.55263,4.900185,20
Crash Holly,7.0406175,7.762182,39
CptSlapABetch-{IGN; Jack Stacey},7.9972296,9.276336,26
Simpletin,10.230507,4.394291,8
Charcoal,8.46976,8.291601,40
Jag,6.470048,7.3814673,35
DaOddity,7.590687,12.631931,7
broer,9.880892,5.662656,32
mduff1,10.596874,8.169802,5
Purple,11.0012245,6.1040654,31
VaughnBlaz3n,7.694173,12.425537,7
inconvenientname,6.8417554,6.7246203,35
nah,8.669929,8.794434,-1
owesome516,10.464201,6.110255,32
✧༺𝘾𝘼𝙍𝙏𝙀𝙍𝘾𝘼𝙉𝘾𝘼𝙍𝙀༻∞,8.250341,4.5876045,14
FettPrime,7.6056037,12.372031,7
cofi,8.189287,4.611946,14
SmokeyBjorn,8.733695,6.776138,-1
dugbee,7.7339067,8.971596,26
Topu,6.844698,5.843053,22
AcousticVoid,7.418175,8.0883255,41
JW,7.464022,7.8079324,39
Randomuser395,10.60507,6.929177,19
Hydehunt,8.276999,9.854882,26
xX_BigGrandma68000_Xx,8.933286,10.785059,6
delete me forever,8.293413,11.495604,6
Stvn,6.79079,10.535321,23
joyjoy,7.737013,6.12347,35
CaliforniaBread,9.343205,8.934898,27
ChadDX,5.5931163,8.681255,11
neon,6.913475,7.1037965,35
DealWithIt,7.7108374,8.989526,26
Renko,9.499613,10.350726,9
Requiem,9.591091,9.017287,27
Mr. Sias,7.074103,7.03049,35
comic,10.725825,6.1506596,32
Jaden,5.2323694,7.247556,4
josifek,10.276427,9.254982,21
cobra347,7.317817,7.718353,39
NikLekse,9.115245,6.6405315,-1
Yiaro222  Yeet m once more,9.231729,1.3082747,0
NathanDPlays,10.893392,9.27978,16
Dapper,9.924288,6.745294,36
Renv,9.856391,6.594064,36
TylerMercsTV,11.684068,7.0144277,1
ĦĄZÀŖĎĴÄʗkAɩ111Ø,6.37798,5.0424786,2
Riley,9.189713,1.3541785,0
bdbdbebs,8.366756,5.8992567,30
block567,9.622746,5.7399735,37
vaporwave,9.671491,4.9810076,28
Jish,9.134001,10.067641,9
Tucker,7.7928123,7.230301,38
ElmoV2,7.397447,8.60226,-1
agent shoob,7.355489,11.588307,7
yebb,11.012796,9.124129,16
Kirbystar,6.148471,7.883648,12
haristic,7.2908387,6.160506,22
RodgerRodger,8.723614,8.438116,40
person who is 18+,8.629973,6.7995176,33
NoobDuck,8.217781,4.6046977,14
Don Remington,5.3134546,8.903936,11
Audrey,9.917474,7.2944036,36
vort,8.770284,9.199482,26
Lord Beans,9.998853,6.2561793,-1
PNWTRC,7.8948536,11.970339,7
abz,8.500427,10.342471,18
Traintle,9.167174,6.4071636,37
HobbyTown,8.358129,10.5367775,18
ytombot,11.690558,7.0023446,1
AUSH  TAKING A BREAK.,8.228397,7.270057,15
madpiez,9.408181,9.075571,27
Lamp,10.4755125,6.959873,19
Torrentel,8.593275,8.450608,40
ProGamusian,6.0265803,8.965599,10
Philo,6.0975323,8.886705,10
dre5d,7.8097014,12.240322,7
Skyman,9.652222,7.7610025,17
War,7.6141295,7.597731,38
manza,8.344649,8.282298,40
carpark,7.7895823,7.4342833,38
C4Claymore,10.07563,9.177098,21
Thiepn,8.390923,6.8030353,33
Guka,9.129741,5.4137692,-1
surtwexalt,8.666691,11.223237,6
Razzle,7.052525,6.7030115,35
bl,8.43777,6.7443023,33
Mega,8.477404,5.177406,13
willb,8.974485,8.146061,40
cakePhone,9.229035,10.208109,9
chewibles,7.306872,6.6065454,35
haydenlee,8.083395,6.046752,30
morus,7.2113557,8.100663,41
Boomhauer,7.154172,9.061333,-1
fern,6.463101,6.7578664,35
Murmesteren,8.028242,10.393519,-1
cobblestone100mc,9.380751,6.201557,37
iq88,7.2795672,8.228815,41
biglooc,9.725378,6.3134727,36
feather,7.882658,7.3970795,38
Naga Sake,6.6463656,10.267363,24
VCR Frog Dad2,9.239936,7.777364,17
niriacirian,7.2054257,12.334851,7
Nulz,7.442429,11.1765375,7
Diamondflame5,8.12156,9.194244,26
Meme,8.112184,7.913609,-1
Ethan(n),10.520422,9.558613,-1
Ez,5.278853,7.1897216,4
Citrine,9.33979,8.248333,17
kafirكافر,6.5910387,5.0429826,2
ataranlen,6.0892525,9.160607,10
CecilTheTurtle,7.8125043,10.660497,23
menthollights,8.727995,5.7175384,29
Kingofidjits,7.4157567,6.5473294,35
Mins,11.646224,6.9584446,1
FoxBox808,7.5696597,11.550246,7
N6,7.5480075,7.510751,38
sere,8.545966,7.4063497,15
Chocolate 🍫,9.6718645,4.939188,28
Pataevian the Canadian,6.4014063,10.713948,24
Renikal,6.118648,5.322259,3
Arndorus,8.053381,8.191747,40
Deleted User 0b5f84f1,6.452243,4.9890995,2
Waffle Relations,8.377025,10.614088,18
Mr_MIMS,10.544561,9.036891,21
henreich helmsfurth,6.2786336,7.7186813,12
gamecarl,9.288288,9.835345,9
AilurusNOx,6.09062,7.9308043,12
Ironbot1218,10.741095,8.811382,-1
KingBoo_TheThird,9.588404,5.436522,-1
logalott,6.238353,9.251353,10
Remember,8.247654,8.540795,-1
Adam,8.870641,5.1263385,13
Kolja,10.453898,4.1329994,8
pantaleon88,9.927211,6.5051947,36
Jacob,5.0209394,7.3111496,4
blok,7.2267246,10.523021,23
limeee1284,8.686548,11.163227,6
fatal,7.309046,11.865869,7
Master_P3ACE,8.865926,10.893389,6
Saigo,7.3488173,10.530436,23
𝐌𝐄𝐂𝐇𝐀𝐍𝐀𝐑𝐈𝐀𝐍³,7.388613,12.251071,7
Matt_Trees,9.016923,6.9010267,-1
NeonInc,9.064005,9.389902,-1
austig,8.487933,7.8924055,-1
tintedmint,5.288598,8.783918,11
dreddkiji,7.1319413,6.6132417,35
Eve__,7.985605,4.6014442,14
Popzi,6.096438,7.6524262,12
dini,8.075135,6.2410717,30
Bluezerg,9.892662,8.907259,-1
Houston,8.403437,4.8893857,13
Arandomtallkid,6.1339192,6.905501,35
King,10.959802,9.161363,16
CRAM,6.5964875,10.350406,24
Rou,9.47322,6.524039,37
hexane,9.198421,6.2497177,37
wyddaddy,7.1720953,6.2905626,22
surpot,7.691246,10.711992,23
Duhano,7.3574877,8.292324,41
Minoxio,7.6086755,8.200419,41
Pastbounds,9.683732,5.077051,28
Spider,7.298487,6.7909737,35
Mitch,10.237079,6.640711,-1
CuBoyd,6.8122406,5.8157215,22
ridethelightning,8.158569,9.692281,26
!!!! Easy,6.188669,8.960283,10
~.tlaskana,10.479777,7.055178,19
Ethan1548,8.429667,10.43816,18
Broopili,7.8453164,8.343937,40
Vortexerix,6.547826,10.7409,24
LDaz,10.470475,9.200367,21
King Barnaby,5.7039585,8.843015,11
roach,10.149479,9.247772,21
MagicEx,8.760143,9.275081,26
Mrs.Tigoti,6.534406,10.856757,24
ZachattaxYT,7.1233525,10.513858,23
NewAgeNegotiator,8.306883,10.593711,18
Tenmonster18,9.367793,10.303472,9
EricG4,10.836151,9.321967,16
Duke,4.986867,7.290932,4
2fncool,8.053301,11.823742,7
ritz,8.489985,7.47566,15
Megan Stoltenberg,8.489724,9.502669,26
Viggo,11.784587,6.099999,31
Itsm3sammy,9.203193,1.3413332,0
backdooredbananapopbob,8.399758,6.264345,-1
Waitedsolong,8.597579,5.530874,29
yeah,10.554227,4.6539702,20
iberic,9.237376,9.151026,27
Bladee,8.515765,6.4341593,-1
Jeed,9.837437,6.3402467,36
Mr. Purple,7.9518776,10.156801,-1
Jalapeno690™,6.8803663,5.9161468,22
Deleted User,5.222407,8.844668,11
Janmes,7.706443,12.430127,7
IdkNxck,8.151615,9.817511,26
riyaydini,8.124216,9.482482,26
Aries,8.6326885,7.5158405,15
Redstonelords,9.556432,7.754842,17
Lysec,8.464313,8.793872,-1
stinky70,11.617087,6.9916754,1
Yuno,8.084523,8.294609,40
S_lime,10.790085,7.7281437,5
Xeno,7.6885796,7.5149484,38
soto111,8.1634245,6.886381,33
fropan,9.653287,7.3460593,-1
hrw,10.519198,9.347265,21
Pxblo,9.544797,5.270085,28
trdavis,8.120141,4.508194,14
'santi,10.726918,7.8862705,5
moody_blues,11.250599,6.0517097,31
heest,7.8379736,6.4255514,35
Druid,7.9164886,6.5641336,35
aquaticwombat,7.290312,5.571131,-1
Lexie,5.8467283,3.7249384,-1
Wiktor_Olf,9.447429,8.124748,17
bobbysmurda,7.0297575,10.384052,23
Parsimonian,8.24069,5.8880687,30
fart butt,11.48915,6.948009,1
lion0_o.,8.935189,10.178729,9
lookatminecraft,7.089803,5.839216,22
WitheredSunflower,9.784224,10.187621,9
L3thalCarrot,9.148966,9.0854,27
Earsplittingusa,7.108972,10.49964,23
Ferret,9.449978,9.372123,-1
Miasma,5.009781,7.3097053,4
kasius,9.187312,6.172736,37
deadbushking0,11.341888,6.163265,31
Order66,9.481107,7.0573206,34
wyv.ase,6.6608477,8.4503145,-1
Juicifer,7.216803,11.339722,7
Ben1234,9.506219,7.932018,17
1_DarkLight_1,7.5326166,12.998688,7
emneo,7.9562316,7.0088887,33
alpenglow69,6.1008005,5.362707,3
CrazyFireDuDe,10.707548,5.3232603,20
Killerbean,9.521582,10.3039665,9
TLF,7.1620936,11.45765,7
Shar0n,6.4536295,10.505415,24
kenpachi1948,9.556012,5.8175073,37
Tazer,9.601179,9.205321,27
YungBasedGaben,10.456974,4.133443,8
Example,5.2612324,7.255601,4
Malyfas,7.1649923,12.344393,7
LuigiPipefitter,9.860082,5.294262,28
powerful_beagle_47753,8.511482,4.934629,13
Aim,4.9785485,9.165625,-1
Duck Down Records,10.378533,5.246349,20
humd,8.837772,9.285387,26
ttx.grant,9.500653,6.5105047,37
bookworms slavon,7.597059,9.958123,25
jean (the servers maid),9.638474,6.8672566,-1
weenermaster8,9.279828,6.4560113,37
Yosh,6.825854,5.8343825,22
angel,7.7656155,6.3913236,35
Ginh,6.878427,9.844145,-1
fried,8.018255,7.8014383,-1
alibyte,10.85577,7.66991,5
ZenoByte,10.470969,5.9945097,32
DaddyApologies,7.3117385,6.7034564,35
PropanePrince,6.7742825,7.523487,35
_._,9.393724,7.1232505,34
Meedou,5.4382405,7.100494,4
LeoDaVinci,9.529117,6.19352,37
silon,6.973972,11.044095,7
Drogskol79,7.7567782,11.846544,7
lolzzxxyy,7.590335,12.20885,7
Rambam2016,7.637709,6.9037037,-1
WilliamtheWooki,7.0852275,8.976987,-1
_Nether_Chicken,6.815712,6.721061,35
But Why,9.192291,1.3536738,0
inactive6843,6.0929217,5.4720416,3
whos gonna carry the boat,5.2259407,7.2484756,4
SaySorryMommy,6.327266,6.8307037,35
t4s,8.750329,5.092749,13
Negga,7.6034822,10.601976,23
puppygvrl,7.400325,5.4214587,-1
Grizzly41,7.781017,6.3808646,35
Mars,8.973595,10.107124,9
bananaman,7.560498,13.007468,7
furrylover,11.5317745,6.99897,1
[PTNA] or Patina,7.7047896,9.5730505,25
92649174917692650682616487947284,8.194538,5.940868,30
MD,7.8962646,9.886939,-1
sirbacon12364,7.442535,8.432535,41
HypeLike,10.415784,5.261927,20
beetle58,7.8387594,8.967573,26
PIEFROMHEAVEN,8.029361,11.921348,7
Ayan,9.019142,8.361651,40
Deleted User b321652a,8.889363,9.102314,26
DarkPurple,8.699897,5.6717234,29
Speedlunky,10.691426,7.873728,5
PowerfulSpecimen,7.943059,4.3474073,14
Eazy,9.202694,7.4364285,-1
zombie,8.7145195,5.559138,29
【=◈︿◈=】,6.745069,7.8854,39
finalflame21,10.443446,5.2580905,20
𝓓𝓪𝓻𝓴 𝓟𝓪𝓼𝓼𝓮𝓷𝓰𝓮𝓻,7.7695336,8.106005,40
creax,10.538707,5.978689,32
Zasthur,10.034227,7.016483,36
Chevy1,9.65974,4.955488,28
carbonking,9.33971,6.91896,34
Skulrog,8.657198,5.7228603,29
𝓛𝓾𝓬𝓴𝔂,8.628384,6.443924,-1
BillCosby6300,7.488796,8.193431,41
Xeulla,8.787833,11.006477,6
Redstone,10.024855,6.8066297,36
Kanzuku,7.0321417,11.384597,7
Max,9.17964,1.3635014,0
bleak,10.908133,6.9993143,19
KBenster loves you,10.388187,6.9411097,19
2cbmanufacturer,10.096694,5.420632,32
Gem,6.4226418,5.439832,3
QwQ_tw,5.928348,7.374928,-1
Noxzius,7.3719077,5.8881435,22
Castle,6.7886934,10.523029,23
IM BANNED FOR 2  YEARS,6.5325785,5.02094,2
happy !,11.06307,6.0720115,31
Abe,8.789065,8.001685,40
largepelotas,10.758066,7.770399,5
bob,8.858339,8.236695,40
slavon,6.327155,10.719658,24
wenyxi,6.906624,9.489646,-1
King of Ferrets,7.473147,9.119357,-1
Stijn,8.140757,4.544078,14
Snoflake,6.7804503,6.9626904,35
Drew,7.5621414,9.702757,25
Ollie_01,7.3178496,8.337834,41
AncientSaintLol,8.408777,9.702471,26
Szinister,8.078726,6.0654607,30
false,6.658932,7.3576684,35
Conn88H,8.351087,7.520247,15
YourCoal,6.816206,8.198867,39
Barking Crow,7.342054,10.328306,23
improllyhigh,6.7463346,7.329467,35
Duckie,6.9993567,11.035016,7
SammyG,6.0176425,5.387072,3
Jomb,5.255534,8.839365,11
Stevie,9.96579,7.084554,36
ErkoçTR,11.51802,6.931158,1
TheToe,7.525387,12.972101,7
Arcanis,8.019808,8.402614,40
CryroByte,6.934413,7.248849,35
DarthSquid,6.804765,7.3377223,35
Dawnlight,9.676004,7.895796,17
Ocram II,7.9216447,12.164202,7
wizard,5.8488417,3.7299557,-1
四季晴れ,7.383145,11.315843,7
Mart,9.646457,4.9526224,28
t4,6.7166686,6.9717712,35
PenguTT44,7.1148443,11.937441,7
TROLOLOOr,7.033974,9.794084,-1
Jonny,6.0577426,7.975422,12
$PADE,9.708688,9.138138,27
AQUATICUR,8.6639805,7.4867926,15
Nedben,7.887979,12.076142,7
0hku,7.038068,9.768485,-1
VIP_Win,8.0310755,9.336599,26
micah_master_99,9.194578,1.3459175,0
Brothy,7.6826906,6.839581,-1
adoplus,10.87542,7.036914,19
not squishy,10.259775,5.881855,32
Kyxto,8.851669,11.079767,6
Hades,7.5050845,10.451609,23
scoutwolf,8.331819,4.6432714,14
Devil_May_Kare,10.677787,8.100953,5
MasterIntimid,10.413887,6.0570354,32
JonnieTheGamer,10.4314575,9.201201,21
Xe,8.229842,5.8808055,30
fern♡♡,11.563192,6.192038,31
bku,10.427107,7.1826634,19
JesusL,7.2959294,7.6330905,39
Unbioctium,10.019524,7.4779534,-1
Bob Hawke,6.4704447,10.798551,24
Aesthea,11.753834,6.0669446,31
ZingDing,7.1458964,9.451487,-1
Raynfalt77,7.2573276,7.585582,39
Syntality,10.934953,7.5753026,5
GustonAitrullu,8.001749,10.658429,-1
RileyVoid,10.279565,5.9545865,32
Vinnnie,7.6823206,12.404461,7
squadlid,6.78364,8.10402,39
OnlySolid,7.862208,7.8107457,-1
NerdieBirdie,6.9468503,10.536394,23
dubers11,9.498359,5.92061,37
HappyCyanideSkittles,8.043702,4.5085707,14
Cele,10.657297,7.8807006,5
Astro,6.378805,7.2060857,35
ManicRoad,7.6240907,10.696038,23
Lovestruck,7.5908146,10.64732,23
Andrew,8.25055,4.640413,14
AsianRice,9.634449,6.0313716,37
Tibo,9.120808,7.107095,34
