player,UMAP_1,UMAP_2,cluster
wdycsm2389,-0.41351372,-4.451809,17
HighlyOriginal,-1.5364312,5.2978654,4
Donktuss,0.76021975,-1.3417649,42
Sinuhstr,-0.23838523,-0.70171046,22
MarcDoggo,1.1462976,-0.40280598,26
HvacKen74,-1.7171408,5.226713,4
Mohedji1,2.194214,-2.056835,-1
speedis69,2.4887924,-1.5519797,13
SimpleSmallBuild,2.7645779,0.5264617,30
PappyVanPoodle,1.0374265,1.0791185,29
DonaldTrumpForMC,0.93287253,0.3924569,37
Nova_Eternal101,-1.8964142,2.1082766,5
Agentben1236,-1.6804057,-4.5967264,32
Xoontor,0.8740517,-4.0689306,19
Merpiesh,2.0542197,-2.0488164,-1
GAM3RSH3A_MC,0.39883733,-1.944756,42
ArcanisO,-0.5909355,-4.7010255,17
ASSofSpawn,-1.9084641,2.1213405,5
CanadaOnTop,0.13867313,1.3322688,24
MrCelsius,1.0931656,2.1014867,27
Adrian_mos,-0.46084923,-4.289613,17
Bibcuit,1.1654489,2.0723479,27
Abderraheem_Saad,1.1698996,1.4741611,29
skullfacing,-0.5425692,-0.072570086,23
MonkeyDLuffyXD,2.351018,-1.2868191,13
mikanMC,3.737718,1.6902496,9
DDolan,-1.2079422,-1.5290197,38
WEEDGROWS,2.472999,4.0088983,7
Giraffe_Hands,-1.9374555,-1.6586968,34
Tennis_Gilmore,4.045532,-0.70341283,6
Mr_Cheese_MC,3.5782218,1.4816862,9
inconvenientname,-2.3397648,-1.6342539,34
TheBadGuy690,-1.7060956,-4.6278276,32
Thegrebler,-1.3160298,-1.5555719,38
DarkLuigi_,2.896761,1.9118396,10
Danfish990,-1.1466012,-1.5042121,38
qikp,2.081393,-3.864196,19
FeatherClient,-1.8225422,2.0421376,5
Jalapeno690,2.082755,0.082554355,-1
SexHamburger,1.1321697,-3.2517211,18
EpixsV1,2.2268178,2.4442203,10
Foreste,-1.8190925,2.0447028,5
iampaigeat,-1.581778,5.1829023,4
Toadwurt,3.6819978,1.5787705,9
TheAr1elle,-1.3801343,-0.7753512,28
MaybeFeather,1.9819597,-4.4047136,19
EywasApprentic,-0.75840473,-2.5956504,35
Tree_Meister,1.5171647,0.7546748,37
Aulacomn231,-2.6360528,-6.7892404,1
Pltrghst,1.4938464,1.5015405,-1
WaffleHeretic,0.77369636,-1.0637347,42
Fedorux,0.65531605,0.0011049974,26
C0mput0r,-1.1634754,-3.8732104,39
WillyGoat_69,2.7068624,0.009675234,31
Pattymeltman,1.2416977,-1.2047211,-1
RickGrimes_TWD_C,1.8860354,-1.6000676,-1
I_have_a_cat123,-0.5206194,-4.602154,17
Glassbot,2.5441751,-1.238656,13
Soemtheguywhoask,1.8393013,1.1958007,33
ElmoV2,1.5684444,-1.0031757,26
WaterHeater4617,1.7172289,0.14133249,-1
slobodan1985,-1.69177,5.218648,4
mcofflinenet,-2.611148,-3.345942,14
Anti_Eclipse,-0.02816047,-1.6004412,43
Catvenom,10.281172,2.1549752,0
InvalidException,0.62383777,1.3735679,25
3h3,-0.14208789,2.2525403,21
Dringogo,-0.31187642,-1.4486457,43
ci__,3.1959846,0.46780428,30
Polynian,-0.14352924,0.7814567,25
Furious_virus,-0.9582072,-2.336638,35
idjitsmc,2.2230177,1.1778448,33
ImNotASnoflake,2.7417307,2.1985393,10
DigiverseDragon,-0.54254735,3.5923955,20
scytoon,2.013399,0.7825976,36
anakite,1.8216037,-1.4950851,-1
Im_Martin_SK,-0.62905014,-3.2738228,-1
EwABelgian,3.8759465,0.6547231,12
Eclipsebead,4.3499937,-0.85395706,6
ElysiaKun,3.717037,1.2904565,9
XWSA,1.7947934,2.5750015,10
ttv_vienas,-1.8643622,-3.4269426,-1
Nuk3Fr3nce,-0.37268975,0.10798349,23
TopHatGuy1515,-0.28093755,-0.10361511,23
DodoZG,-1.3286186,4.6716514,4
diivan_,2.7121258,-0.14123602,31
ClomBot,-1.4630808,5.2383733,4
87ac,1.0901072,-1.4487334,42
surtwexalt,-0.46314564,-0.04191132,23
Treipen,-0.80124843,-2.6008575,35
NorHereorThere,-0.46071115,-1.4238627,43
wullieBot,-0.22015746,-1.7615058,-1
Bedgang,-1.5267135,-4.6874614,32
cloudbleed,1.8473006,0.48991337,36
octavoille,2.4853256,4.1162004,7
Alpha_Slab,1.4796617,0.94285345,37
f4mi1y,2.1625745,-2.2759094,-1
CarterCanCare,-3.1968157,0.44086564,2
not_ohnepixel,2.792814,-2.3703613,11
laurenthelily,-2.6096034,-6.762406,1
D1CCE,-0.0080877915,-3.4274282,16
PzzaKing14,-2.4955676,2.4450963,5
TalibanTrev,0.50756097,-3.3412275,18
Clayzed,-0.47782075,1.397647,24
txrt9957,0.39458334,-3.8486812,16
purpnurpx,0.34791481,-1.2988232,41
Yissux_,-0.487913,3.4579332,20
ApolloDerCoole,-0.74511236,-4.567879,17
6wc,1.9250618,-4.3476706,19
sxtapee,2.8193514,0.4945313,30
Taxprep,2.0168185,0.50720054,36
Peek,3.1659296,-1.2702584,13
OnlinePoker,2.4526324,0.13373347,31
ataranlen,-0.6047673,3.114569,20
backdooredbanana,-1.6695237,-3.9676788,39
zxcvbnmlll,-1.0300252,-3.406811,40
HamsterDill,-2.088443,-3.5036516,15
JonCshen,1.6360029,-2.4393947,-1
RamyZeBeast,-0.0047254176,-3.605698,16
PopeBenedictXV,-0.5093301,3.5393932,20
meslut,-1.6385279,-3.8382695,39
Homodispenser,-0.641079,-3.241247,-1
