player,UMAP_1,UMAP_2
Callmewhz,6.604299,0.99837816
Anti_Eclipse,1.3975983,2.016822
Donktuss,1.7878116,2.9907963
Sinuhstr,0.80404174,2.044146
tnrp,-0.60584843,7.294506
speedis69,3.0029259,4.455875
SimpleSmallBuild,1.2071666,5.5493093
PappyVanPoodle,0.015489485,4.8134727
nikefan14696,2.4594548,2.372371
Louis_18092013,6.9102364,0.82559776
Nova_Eternal101,-2.028778,5.662624
Mellobyte,6.8343544,0.8996184
Xoontor,4.7360125,1.8213785
Merpiesh,2.75261,3.9590409
Icwatto,0.89110845,4.619879
ASSofSpawn,-2.0598907,5.7252483
eGirlNectar,1.4087116,-0.7028896
J3kzy,1.7526441,0.28702196
skullfacing,0.32976457,2.1798162
wcrm,3.1352768,1.5557123
DarkLuigi_,2.2512686,3.1842384
MonkeyDLuffyXD,2.5742502,4.34641
Fedorux,2.2752674,3.7113595
OneToRemember,-0.16264643,5.700527
GuksonaR,2.745515,4.297773
Cynllo,3.5627863,5.6622496
xavibbbMC,2.5870097,1.6218128
dxzzyByte33,1.2579432,0.3641082
TheBadGuy690,3.2418437,-0.793606
UpleenSandhu,-1.5922693,0.4013581
Thegrebler,2.4640887,1.1613727
OMG3,2.2917857,2.213555
BedGirls,3.5230148,2.4449584
ElysiaKun,2.045402,6.6033726
Danfish990,2.4122484,1.1966512
qikp,4.54165,3.022581
FeatherClient,-2.149115,5.7600493
Jalapeno690,1.9677062,4.59736
GAM3RSH3A_MC,1.6986492,2.4679806
SexHamburger,4.0000086,2.1579866
EpixsV1,2.559195,1.8344634
Foreste,-2.0372818,5.7005267
iampaigeat,-2.249236,2.486974
TheAr1elle,3.0881412,1.5933665
MaybeFeather,5.029628,2.7480946
EywasApprentic,1.2446921,-0.09528943
Preteritum77,-1.3638796,2.274947
C0mput0r,2.6993363,-0.5009511
jared2013,-0.66179687,7.3744626
Pattymeltman,1.653473,3.3713572
RickGrimes_TWD_C,2.722644,4.163985
I_have_a_cat123,4.377893,-0.46000567
Toadwurt,2.2444382,6.45547
Glassbot,2.7898526,4.3642936
Italian_Vibes,0.6859235,2.5305045
ElmoV2,2.3673754,3.9768767
CommanderJish,0.46276495,3.2976422
clometie,-2.0656738,5.7310324
WaterHeater4617,1.4587208,4.140646
slobodan1985,-2.2336373,2.3624234
mcofflinenet,1.4548124,-0.7634679
Catvenom,3.8277297,11.914435
CatMaid,5.061915,-1.821544
ironman2093,0.6136221,4.77944
InvalidException,-0.42578578,4.5268974
t4xan,5.0160646,2.7779198
MrCelsius,-0.20333602,5.9653406
ialexowo,3.0100431,2.1633081
Dringogo,1.4632165,1.9479988
ci__,1.2883492,5.74789
Furious_virus,1.6908374,-0.029426375
idjitsmc,0.47160852,3.7941415
Zasthur,0.70069945,4.666
ImNotASnoflake,2.421065,2.9470289
CanadaOnTop,-0.61814094,4.0650973
DigiverseDragon,-1.3764768,0.607372
Im_Martin_SK,2.956167,0.86414194
New_Player2,1.9183872,0.38189802
Eclipsebead,3.6664693,0.5321089
worldviews,3.8542638,1.8519591
xdlolxeno,-1.4418528,0.5462972
TopHatGuy1515,0.7538559,2.1009789
DodoZG,-1.7905246,2.3708544
ClomBot,-2.6138706,2.2571537
Judas_Iscariot,0.61007816,4.5603333
surtwexalt,0.31411153,2.226335
numbakrunch,1.2605277,0.63811654
wullieBot,1.1822782,0.9293815
